date_time,dp_PGCT
2021-01-16 00:00:00,14.481785402033063
2021-01-16 12:00:00,14.554796287748548
2021-01-17 00:00:00,14.554796287748548
2021-01-17 12:00:00,14.589596581459045
2021-01-18 00:00:00,14.75489670170678
2021-01-18 12:00:00,14.75489670170678
2021-01-19 00:00:00,14.666306893030802
2021-01-19 12:00:00,13.939252571264904
2021-01-20 00:00:00,14.377429013782075
2021-01-20 12:00:00,14.371377205848692
2021-01-21 00:00:00,13.525760668961125
2021-01-21 12:00:00,13.525760668961125
2021-01-22 00:00:00,14.385856476094988
2021-01-22 12:00:00,14.2077151550187
2021-01-23 00:00:00,15.014438822534348
2021-01-23 12:00:00,14.772772563828362
2021-01-24 00:00:00,14.601756017737918
2021-01-24 12:00:00,14.50851680437724
2021-01-25 00:00:00,14.50851680437724
2021-01-25 12:00:00,14.50851680437724
2021-01-26 00:00:00,14.87609537045161
2021-01-26 12:00:00,14.87609537045161
2021-01-27 00:00:00,14.310564262337154
2021-01-27 12:00:00,13.651444019211665
2021-01-28 00:00:00,14.382609711752998
2021-01-28 12:00:00,14.370390117168428
2021-01-29 00:00:00,14.443487536907195
2021-01-29 12:00:00,14.443487536907195
2021-01-30 00:00:00,14.86806454923418
2021-01-30 12:00:00,14.821247013409932
2021-01-31 00:00:00,14.948966109752655
2021-01-31 12:00:00,14.96681298547321
2021-02-01 00:00:00,15.193665668699476
2021-02-01 12:00:00,15.243577904171412
2021-02-02 00:00:00,15.008297779824998
2021-02-02 12:00:00,14.912819719314577
2021-02-03 00:00:00,14.852777004241943
2021-02-03 12:00:00,14.735791177219816
2021-02-04 00:00:00,14.735791177219816
2021-02-04 12:00:00,14.997448415226406
2021-02-05 00:00:00,15.44763518306944
2021-02-05 12:00:00,15.44763518306944
2021-02-06 00:00:00,15.49220487276713
2021-02-06 12:00:00,15.555417459540896
2021-02-07 00:00:00,16.478161878055996
2021-02-07 12:00:00,16.31656206448873
2021-02-08 00:00:00,15.500629965464274
2021-02-08 12:00:00,15.500629965464274
2021-02-09 00:00:00,15.500629965464274
2021-02-09 12:00:00,15.500629965464274
2021-02-10 00:00:00,15.500629965464274
2021-02-10 12:00:00,15.500629965464274
2021-02-11 00:00:00,15.500629965464274
2021-02-11 12:00:00,15.500629965464274
2021-02-12 00:00:00,15.500629965464274
2021-02-12 12:00:00,15.500629965464274
2021-02-13 00:00:00,15.500629965464274
2021-02-13 12:00:00,15.488982399304708
2021-02-14 00:00:00,15.208032087484996
2021-02-14 12:00:00,15.185087788105012
2021-02-15 00:00:00,15.185087788105012
2021-02-15 12:00:00,15.185087788105012
2021-02-16 00:00:00,14.799014345804853
2021-02-16 12:00:00,15.350632513893975
2021-02-17 00:00:00,15.09611203538047
2021-02-17 12:00:00,15.24469092686971
2021-02-18 00:00:00,15.223584453264872
2021-02-18 12:00:00,15.131347935729556
2021-02-19 00:00:00,15.267809910244411
2021-02-19 12:00:00,15.076347720623016
2021-02-20 00:00:00,14.918547501828936
2021-02-20 12:00:00,15.283819360203212
2021-02-21 00:00:00,15.37284217013253
2021-02-21 12:00:00,15.361577008830176
2021-02-22 00:00:00,15.460401366816626
2021-02-22 12:00:00,14.567952545483909
2021-02-23 00:00:00,15.294535296493107
2021-02-23 12:00:00,15.172277279694876
2021-02-24 00:00:00,15.09004499912262
2021-02-24 12:00:00,15.178842845227985
2021-02-25 00:00:00,14.899375438690186
2021-02-25 12:00:00,15.001106242338816
2021-02-26 00:00:00,15.164008780320485
2021-02-26 12:00:00,15.17055577304628
2021-02-27 00:00:00,14.767912628915576
2021-02-27 12:00:00,14.950012718306647
2021-02-28 00:00:00,15.110925137996674
2021-02-28 12:00:00,15.137770048777265
2021-03-01 00:00:00,15.591837135950724
2021-03-01 12:00:00,15.390404840310415
2021-03-02 00:00:00,15.53066346247991
2021-03-02 12:00:00,15.169736059506734
2021-03-03 00:00:00,15.550760949982536
2021-03-03 12:00:00,15.624162108368344
2021-03-04 00:00:00,15.704845939742194
2021-03-04 12:00:00,15.19642890824212
2021-03-05 00:00:00,15.097960384686788
2021-03-05 12:00:00,15.24770463572608
2021-03-06 00:00:00,15.24770463572608
2021-03-06 12:00:00,15.24770463572608
2021-03-07 00:00:00,15.415084715684255
2021-03-07 12:00:00,15.757712337705824
2021-03-08 00:00:00,15.757712337705824
2021-03-08 12:00:00,15.320950289567312
2021-03-09 00:00:00,15.320950289567312
2021-03-09 12:00:00,15.320950289567312
2021-03-10 00:00:00,15.320950289567312
2021-03-10 12:00:00,15.320950289567312
2021-03-11 00:00:00,15.571288492944506
2021-03-11 12:00:00,15.571288492944506
2021-03-12 00:00:00,15.571288492944506
2021-03-12 12:00:00,15.06612670024236
2021-03-13 00:00:00,15.06612670024236
2021-03-13 12:00:00,15.06612670024236
2021-03-14 00:00:00,15.2503962331348
2021-03-14 12:00:00,15.2503962331348
2021-03-15 00:00:00,15.2503962331348
2021-03-15 12:00:00,15.2503962331348
2021-03-16 00:00:00,14.408370717366536
2021-03-16 12:00:00,14.523688883251614
2021-03-17 00:00:00,14.81653180387285
2021-03-17 12:00:00,14.962898222605387
2021-03-18 00:00:00,14.760935961206751
2021-03-18 12:00:00,14.760935961206751
2021-03-19 00:00:00,15.185407784250048
2021-03-19 12:00:00,15.082250992457071
2021-03-20 00:00:00,15.235268482897016
2021-03-20 12:00:00,15.235268482897016
2021-03-21 00:00:00,14.854548519187505
2021-03-21 12:00:00,14.50468524561988
2021-03-22 00:00:00,14.79093542098999
2021-03-22 12:00:00,14.117913722991943
