dp_PGCT,dp_WESP,dp_droplet,dp_quench,dp_GC,power_input,roaster1inOperation,roaster2inOperation,date_time
15.107863540119595,23.92309473355612,3.633775023619334,14.263383118856048,57.34269770703193,16.432354273282765,0.9944444444444444,1.0,2021-01-14 12:00:00
15.27314018143548,23.980040253533257,3.609199763668908,14.479471793857616,57.768720486846966,16.25210938210843,1.0,1.0,2021-01-15 00:00:00
14.481785402033063,23.208317274517483,3.308738222387102,13.850838868330335,55.25766696848182,17.74010578636105,1.0,1.0,2021-01-16 00:00:00
14.554796287748548,23.51556581656138,3.349547113312615,13.936112467436438,55.73033134273864,15.140345943753964,1.0,0.95,2021-01-16 12:00:00
14.589596581459045,23.12866072124905,3.2808204385969373,13.872416843452084,55.28167501437468,16.06050225020959,1.0,1.0,2021-01-17 12:00:00
14.75489670170678,22.90471817917294,3.3467723727226257,14.106345523573328,55.44761326694889,14.658389332157698,1.0,1.0,2021-01-18 00:00:00
14.666306893030802,22.55676619741652,3.2283608158429464,14.080662246022904,54.842084125155495,15.388291137489167,1.0,0.9722222222222222,2021-01-19 00:00:00
13.939252571264904,25.99583241409725,2.9886750751071505,13.484919786062608,56.73668545445479,16.164640236629932,0.9847222222222224,0.9833333333333332,2021-01-19 12:00:00
14.377429013782075,30.350275450282627,3.1223173167970444,13.941550790514055,62.124432308719065,16.673369534730696,1.0,1.0,2021-01-20 00:00:00
14.371377205848692,30.18719924820794,3.059580796294742,13.620068624843972,61.57617812345076,16.537489178700618,0.9722222222222222,1.0,2021-01-20 12:00:00
13.525760668961125,28.011997065082607,2.851744230629669,13.068252984827591,57.73709161819683,16.068079423291802,0.9611111111111112,0.9625,2021-01-21 00:00:00
14.385856476094988,30.008838147587248,2.997696068551805,13.945045972178276,61.609542432404126,16.774638936277007,0.9736111111111112,1.0,2021-01-22 00:00:00
14.2077151550187,30.357979578442045,2.973635240395864,13.683478251500976,61.58326429466809,16.08374490802197,1.0,1.0,2021-01-22 12:00:00
15.014438822534348,30.729506685998704,3.0779175731870865,14.264418693231548,63.38974062056708,14.306454925768092,0.9888888888888888,1.0,2021-01-23 00:00:00
14.772772563828362,30.65966543356577,2.9811926749017506,13.778524483724,62.56601884115096,15.393038828891846,1.0,1.0,2021-01-23 12:00:00
14.601756017737918,30.553854722446864,3.043849219216241,13.979679667343104,62.52415894739105,14.375356301181345,1.0,1.0,2021-01-24 00:00:00
14.50851680437724,30.78504911528693,3.0729126400417752,13.78242737545289,62.54718362583436,16.374979316916797,0.9819444444444444,1.0,2021-01-24 12:00:00
14.87609537045161,31.331065458721586,3.155240601963467,13.994838233793985,63.71714460188006,15.972056352266204,1.0,1.0,2021-01-26 00:00:00
14.310564262337154,31.97157077259488,3.1241961068577235,14.038016260715407,63.88498615130989,16.24282735806508,1.0,1.0,2021-01-27 00:00:00
13.651444019211665,30.41020533243815,2.870724993281894,13.388130693074263,60.78312540759927,17.714328274376633,1.0,1.0,2021-01-27 12:00:00
14.382609711752998,31.194795330365498,3.0561155809296503,13.836725432995689,62.89516364136378,16.558190538394975,1.0,1.0,2021-01-28 00:00:00
14.370390117168428,31.42034659120772,3.129666154914432,13.811853190976642,63.13108422562638,16.37759507771064,1.0,1.0,2021-01-28 12:00:00
14.443487536907195,31.27105374071333,3.0870722320344712,13.95237913032397,63.17060863607484,17.845782927635614,1.0,1.0,2021-01-29 00:00:00
14.86806454923418,31.34254186153412,3.188917707072364,14.04980001983414,63.79912697080808,15.792864552355804,1.0,1.0,2021-01-30 00:00:00
14.821247013409932,31.350627613067623,3.1467948330773248,14.143910063795436,63.84831326553443,17.391769972850586,1.0,1.0,2021-01-30 12:00:00
14.948966109752655,31.263492968347336,3.128554974661933,14.101931270783664,63.8562920790502,17.645396072519137,0.9805555555555556,1.0,2021-01-31 00:00:00
14.96681298547321,31.45312685966492,3.159721733464135,13.974513515961975,64.00340962125144,18.539413489769,1.0,1.0,2021-01-31 12:00:00
15.193665668699476,31.00422719584571,3.119979320632087,13.965612444257973,63.695968728240565,17.679695844899847,0.9722222222222222,1.0,2021-02-01 00:00:00
15.243577904171412,31.858212616708546,3.1691859351264107,13.919478453011834,64.628728177294,18.534204314750674,1.0,1.0,2021-02-01 12:00:00
15.008297779824998,30.817877454227872,3.1164869931009083,13.930483552970124,63.26030942846434,17.490296509661306,1.0,1.0,2021-02-02 00:00:00
14.912819719314577,31.85712608496348,3.1695669611295063,13.984474490789903,64.37346142137216,18.42572031601508,1.0,1.0,2021-02-02 12:00:00
14.852777004241943,31.447235417366027,3.205030552546184,13.98008274358128,63.9258303839791,18.2066679696728,0.9847222222222224,1.0,2021-02-03 00:00:00
14.735791177219816,31.558090835147432,3.2414363397492303,13.972903114136232,63.99242754404032,17.494267773195872,0.9861111111111112,1.0,2021-02-03 12:00:00
14.997448415226406,31.925272891256544,3.3213586476114063,14.03825624881364,64.76236174998857,17.86177704887986,1.0,0.9847222222222224,2021-02-04 12:00:00
15.44763518306944,31.602710535791186,3.373472925027212,14.207011741053106,65.07218803993634,17.633390849941136,0.9930555555555556,1.0,2021-02-05 00:00:00
15.49220487276713,31.16671113702986,3.378458803229862,14.111103218876654,64.56247688076563,16.93159618396999,0.9902777777777778,1.0,2021-02-06 00:00:00
15.555417459540896,32.12594582504696,3.369268568356832,13.934071520798735,65.46517278469271,17.418749684129235,1.0,1.0,2021-02-06 12:00:00
16.478161878055996,30.788425940937465,3.396075492435032,13.889334022059726,64.97167795405258,17.704520924713748,1.0,0.9833333333333332,2021-02-07 00:00:00
